File Name,Commit Hash
ambari-2.1.0_defective_lines_dataset.csv,dc223c33879f789993cf5c18c1f854ff4c603d00
ambari-2.2.0_defective_lines_dataset.csv,c1d56c3bf43bb9bd10e4cf14f4720049f7697fec
ambari-2.4.0_defective_lines_dataset.csv,3689a8db02a2dbb7814490a0aba20e7de3771c0e
ambari-2.5.0_defective_lines_dataset.csv,1416bba1bf2eb046f51afab4827a1e11749f9807
ambari-2.6.0_defective_lines_dataset.csv,804d654e1d79e9b6824eb30d5a962415995c48d5
ambari-2.7.0_defective_lines_dataset.csv,da4e607a48033ab1f359b3ace302fcf29d823e38
amq-5.0.0_defective_lines_dataset.csv,38fcc0ce0178d4a6870aa4f68e2b565c1ad0aa6f
amq-5.1.0_defective_lines_dataset.csv,27e612bef1e471fe9fd3ecc9f2594b4c07a976fd
amq-5.10.0_defective_lines_dataset.csv,58dd93e42e7405768fd89154ff94b45ac71f151f
amq-5.11.0_defective_lines_dataset.csv,4ba1a1689f33d81bd2349a2bb8c66f0c95b04d1d
amq-5.12.0_defective_lines_dataset.csv,a9eeb03520f074d5013239b8d8708a05ba31e176
amq-5.14.0_defective_lines_dataset.csv,71cbc652835e8b6b9d17b7a28fc998fce4840a9b
amq-5.15.0_defective_lines_dataset.csv,5f0d6943cb97b0570bf8d58e8eaf9f0003a5cb6c
amq-5.2.0_defective_lines_dataset.csv,d2dbe18cfbb36b6df142bb94c0c80396571084fc
amq-5.4.0_defective_lines_dataset.csv,e3674e70e2b1918c6e03966681d07a94e2033f86
amq-5.5.0_defective_lines_dataset.csv,063285ca8e142480b435c2c294f5163d1afddd5a
amq-5.6.0_defective_lines_dataset.csv,30697b4e505c77ed9c0e17720a14c78843d12c2f
amq-5.7.0_defective_lines_dataset.csv,17cc9c0228cf8907a40307d4dab80857f9b460f4
amq-5.8.0_defective_lines_dataset.csv,d0a64168441a08aa323a6881db444b935c186ee3
amq-5.9.0_defective_lines_dataset.csv,87c9bbebacfe1d2248b4a55d601f0b089d40b742
bookkeeper-4.0.0_defective_lines_dataset.csv,92e28b6e79a3f0ec02b662ea90c0a0d41b9dfc84
bookkeeper-4.2.0_defective_lines_dataset.csv,5ef2f7e21497e73ae26811dd483097599926a93a
bookkeeper-4.4.0_defective_lines_dataset.csv,8bb39b187d1b681cf88651b825933d046545d34d
calcite-1.11.0_defective_lines_dataset.csv,f8ba670de4e283d1532f288de53fdb67fa4dea67
calcite-1.13.0_defective_lines_dataset.csv,54b9823e7ca313bf195c19b7d98f1a06b342cf12
calcite-1.15.0_defective_lines_dataset.csv,a2aa00e5b276a30e301ecbf0953e2cbf3a51b605
calcite-1.16.0_defective_lines_dataset.csv,96b73060fdc77db9c13e40f6f82f374bb41d12c8
calcite-1.17.0_defective_lines_dataset.csv,c2b3a995bfcf4eee31521dd1b557ca722112914e
calcite-1.18.0_defective_lines_dataset.csv,27d883983e76691f9294e5edd9e264b978dfa7e9
calcite-1.6.0_defective_lines_dataset.csv,c4d346b0a413a1a62e028dd3be40071523203a58
calcite-1.8.0_defective_lines_dataset.csv,aeb6bf146544bf9a4c030df644eda8fe5a370f52
