Method,IFA,R@15%,R@20%,R@25%,R@30%,E@15%R,E@20%R,E@25%R,E@30%R,PMI@15%,PMI@20%,PMI@25%,PMI@30%,Accuracy@5,Accuracy@10,Accuracy@15,Accuracy@20
AdaBoost,7,12,12,12,11,9,10,11,11,10,10,11,10,8,5,5,8
Bagging,9,4,5,2,2,12,8,8,7,14,12,15,15,10,8,12,11
Balanced Bagging,2,1,2,3,5,2,3,4,4,15,15,14,14,3,3,2,4
Balanced Random Forest,4,8,8,8,8,5,2,2,2,16,16,16,16,7,4,4,2
Naive Bayes,8,10,9,9,10,8,11,7,9,5,6,6,6,9,9,8,7
Extra Trees,6,5,4,5,3,4,6,6,5,8,8,8,8,12,12,10,9
Gradient Boosting,3,7,6,7,9,11,9,10,8,11,11,9,9,2,2,3,3
LightGBM,10,9,10,10,7,10,12,12,10,7,7,7,7,5,6,6,10
Logistic Regression,5,11,11,11,12,7,4,9,12,12,13,12,11,11,10,9,6
Pearson,1,2,1,4,1,1,1,1,1,6,5,5,5,1,1,1,1
Random Forest,12,3,3,6,6,3,7,5,3,9,9,10,12,6,11,11,12
XGBoost,11,6,7,1,4,6,5,3,6,13,14,13,13,4,7,7,5
deepseek-chat-Rank,16,16,16,16,16,16,16,16,16,1,1,1,1,16,16,16,16
deepseek-chat-Score,15,15,15,14,14,14,15,15,14,2,2,2,2,15,14,14,14
deepseek-reasoner-Rank,13,13,13,13,13,13,13,13,13,4,4,4,4,14,15,15,15
deepseek-reasoner-Score,14,14,14,15,15,15,14,14,15,3,3,3,3,13,13,13,13
