Method,IFA,R@15%,R@20%,R@25%,R@30%,E@15%R,E@20%R,E@25%R,E@30%R,PMI@15%,PMI@20%,PMI@25%,PMI@30%,Accuracy@5,Accuracy@10,Accuracy@15,Accuracy@20
AdaBoost,9,12,12,12,11,5,9,10,11,9,10,9,9,9,11,11,11
Bagging,6,3,3,4,3,11,6,8,7,14,11,14,14,7,9,8,7
Balanced Bagging,3,2,1,1,2,2,2,3,3,13,14,13,13,6,8,10,10
Balanced Random Forest,7,10,11,9,10,6,3,4,4,16,16,16,16,5,3,2,4
Naive Bayes,4,8,6,7,8,4,7,7,8,5,5,5,7,4,4,6,3
Extra Trees,8,6,5,5,6,12,10,6,5,8,8,10,11,11,6,3,2
Gradient Boosting,5,9,7,8,7,8,8,11,9,12,12,11,10,1,2,4,5
LightGBM,10,7,9,10,9,10,12,12,10,6,6,7,6,10,10,7,8
Logistic Regression,11,11,10,11,12,9,5,9,12,11,13,12,12,12,12,12,12
Pearson,1,1,2,2,1,1,1,1,1,10,9,6,5,2,1,1,1
Random Forest,12,4,4,6,5,3,11,5,2,7,7,8,8,8,7,9,9
XGBoost,2,5,8,3,4,7,4,2,6,15,15,15,15,3,5,5,6
deepseek-chat-Rank,15,15,14,15,15,15,14,15,14,2,2,2,2,15,15,15,15
deepseek-chat-Score,14,13,13,13,13,14,13,14,13,4,4,4,4,14,14,14,14
deepseek-reasoner-Rank,13,14,15,14,14,13,15,13,15,3,3,3,3,16,16,16,16
deepseek-reasoner-Score,16,16,16,16,16,16,16,16,16,1,1,1,1,13,13,13,13
