Method,IFA,R@15%,R@20%,R@25%,R@30%,E@15%R,E@20%R,E@25%R,E@30%R,PMI@15%,PMI@20%,PMI@25%,PMI@30%,Accuracy@5,Accuracy@10,Accuracy@15,Accuracy@20
AdaBoost,5,9,9,9,10,8,11,10,10,11,12,11,12,11,11,12,12
Bagging,11,7,4,3,1,7,5,6,6,12,11,15,16,3,3,5,5
Balanced Bagging,7,1,1,1,2,1,1,4,1,15,15,13,11,5,8,10,10
Balanced Random Forest,12,10,11,10,9,10,3,9,9,16,16,16,15,7,6,8,7
Naive Bayes,3,12,12,12,12,11,9,11,12,8,7,8,9,8,9,4,2
Extra Trees,8,3,8,6,5,2,7,5,2,7,8,9,8,4,4,2,3
Gradient Boosting,2,2,5,5,8,9,6,8,7,14,13,12,13,2,2,7,11
LightGBM,6,4,7,7,6,12,10,7,8,9,9,7,6,9,10,11,8
Logistic Regression,4,11,10,11,11,6,12,12,11,10,10,10,10,10,7,6,4
Pearson,1,5,2,4,4,3,2,1,4,5,5,5,5,1,1,1,1
Random Forest,10,6,6,8,7,4,8,3,3,6,6,6,7,6,5,3,6
XGBoost,9,8,3,2,3,5,4,2,5,13,14,14,14,12,12,9,9
deepseek-chat-Rank,15,16,16,15,15,16,15,16,15,2,2,2,2,15,15,15,15
deepseek-chat-Score,14,14,14,13,13,13,14,14,14,3,3,3,3,14,14,14,14
deepseek-reasoner-Rank,16,15,15,16,16,15,15,15,15,1,1,1,1,15,15,15,15
deepseek-reasoner-Score,13,13,13,14,14,14,13,13,13,4,4,4,4,13,13,13,13
